lobbyist_action,uid,registrant_name,organization,employer,nature_of_business,subj_num1,subj_1,desc_1,subj_num2,subj_2,desc_2,subj_num_3,subj_3,desc_3,subj_num4,subj_4,desc_4,subj_num5,subj_5,desc_5
HB0316; SB0354; HB0553; SB0554; HB0554; SB0553; HB0015; SB0083; HB0767; SB0416,A021196, John  May, Maryland Military Coalition, Maryland Military Coalition, Maryland Veteran's advocacy,1,Other,Veteran's Affairs,,,,,,,,,,,,
HB0316; SB0354; HB0553; SB0554; HB0554; SB0553; HB0015; SB0083; HB0767; SB0416,A021199, David Lee Dragics, Maryland Military Coalition, Maryland Military Coalition, Maryland Veteran's advocacy,1,Taxes - Income,Exemption of military retired pay from state taxation,2,Taxes - Property - Local,Thresholds regarding levels of disability of veterans for property tax exemption,3,Other,"Issues related to currently serving uniformed services members, retired military members, veterans and their families, survivors of veterans, and caregivers to veterans",,,,,,
House Bill 480 and 370 in addition Senate Bill 490,A021208, Mike  Moses, Maryland Military Coalition, Maryland Military Coalition, Maryland Veteran's advocacy,1,Taxes - Income,,2,Taxes - Property,,3,Operating Budget,,,,,,,
HB201; FY24 Supplemental budget #2,A021223, Dennis C. Alexander," Easter Seals Serving DC|MD|VA, Inc.", Easter Seals Serving DC MD VA," Nonprofit Human services, disability services, veteran services",1,Disabled,,2,Social Services - Generally,,3,Capital Budget,,4,Other,Veterans issues,,,
meet with legislators about potential legislation to add SCs to Blueprint Consortium,A021258, Scott  Tiffin, Public Policy Partners, Maryland School Counselor Association, School Counselors,1,Education - Miscellaneous,School counseling,,,,,,,,,,,,
"HB 271/ SB 003  - 988 Trust Fund - Funding. Written testimony;
HB 278/ SB 213 - Health Occupations- Clinical Nurse Specialists - Prescribing. Written and oral testimony;
HB 291/SB 014 - Health Occupations - Clinical and Graduate Alcohol and Drug Counselors - Licensing. Written and oral testimony;
HB 292/SB 280 - Child Care Providers Registration and Licensing - Exemptions. Written and oral testimony;
HB 316/SB 354 - Income Tax Checkoff - Maryland Veterans Trust Fund (Action Alert-call for letters);
HB 454/SB 187 - Health Occupations - Licenses, Certificates and Registration Lawful Presence. Written and oral testimony;
HB 475/SB 439 - Advance Practice Registered Nurses Compact. Written and oral testimony;
HB 611/SB 960 - State Board of Nursing - Sunset Extension, Licensure Exceptions, and Board Operations and Membership. Written testimony;
HB 726/ SB 231 - Maryland Medical Assistance Program - Autism Waiver - Military Families. Written and oral testimony;
HB 1162 - Study on the Utilization of the Expedited Licensing Process for Service Members, Veterans and Military spouses. Written and oral testimony. Met with staffer on issue;
SB 032 - Property tax - Exemption for Dwellings of Disabled Veterans - Applications. Written testimony
HB 015/ SB 083 - Income Tax Subtraction Modification and Public Safety Retirement Income. Written and oral testimony
HB 028 - Income Tax - Credit for Caregivers of Senior Family Members. Written testimony
HB 196/SB 078 - Health Occupations - Service Members, Veterans and Military Spouses - Temporary Licensure, Certification, Registration, and Permitting. Written and oral testimony;
HB 224/ SB 272 - State Lottery - ITLMs. Calls to sponsors offices. Offered amendment; and,
HB 1258/SB 134 - Property Tax Credit for Disabled Veterans - Established Credit. Written testimony",A021322, Lynn Anne Nash, Maryland Military Coalition, Maryland Military Coalition, Maryland Veteran's advocacy,1,Taxes - Income,Exemption of uniformed services retired pay from state taxation,2,Taxes - Property,Thresholds regarding levels of disability of veterans from property tax exemption,3,Business Regulation and Occupations,Exempt status for business licenses,4,Health Occupations,Expedited temporary professional licensure for AD / spouses,,,
,A021346, David Gray Wright, Kahn Smith & Collins, AFSCME Council 3, Labor Union,1,State Government - Personnel,,2,Community Colleges - Local Bills,,3,Counties - Generally,,,,,,,
HB35;HB99;HB199;HB160;HB271;HB274;HB551;HB774;HB880;HB960;HB1105;HB1110;HB1164;HB1185;HB1202;HB1216;HB1241;SB3;SB108;SB137;SB149;SB199;SB238;SB316;SB344;SB387;SB461;SB534;SB547;SB567;SB665;SB750;SB837;SB,A021348, Virginia Gardner Crespo, Maryland Retired School Personnel Association, Maryland Retired School Personnel Association, advocacy for retired school personnel,1,Education - Miscellaneous,,2,Elderly,,3,Taxes - Miscellaneous,,4,Other,pensions,,,
HB 128/SB 171;  HB 314/SB 816;  HB 451/SB 528;  HB 721/SB 892;  HB 862;  HB 1193;  SB 683,A021355, Laurie  Kuiper, Nationwide Mutual Insurance Company, Nationwide Insurance, Insurance and Financial Services,1,Insurance - Other than Health,,2,Financial Institutions,,,,,,,,,,
HB 91; SB 555/ HB 549; general business issues impacting hotels.,A021364, Amy  Rohrer, Maryland Hotel Lodging Association, Maryland Hotel & Lodging Association, Trade Association,1,Business Regulation and Occupations,Hotel Matters,2,Taxes - Miscellaneous,Hotel Matters,,,,,,,,,
,A021366, Garrett J O'Day, Maryland Catholic Conference, Maryland Catholic Conference, Church related issues,1,Education - Miscellaneous,,2,Juvenile Law,,3,Capital Budget,,4,Family Law,,5,Operating Budget,
HB261,A021368, Jill  Benoit, Holcim Participations (US) Inc., Holcim Participations (US) Inc., Building Materials,1,Energy,,2,Environment,,3,Taxes - Miscellaneous,,4,Transportation - Generally,,5,Other,Recycling
,A021369, Jill  Benoit, Holcim Participations (US) Inc., Holcim Participations (US) Inc., Building Materials,1,Energy,,2,Environment,,3,Taxes - Miscellaneous,,4,Transportation - Generally,,5,Other,Recycling
,A021370, Amanda Nicole Allen, Transurban, Transurban, Transportation,1,Transportation - Generally,,,,,,,,,,,,,
,A021372, Samantha C Zwerling, Maryland State Education Association, Maryland State Education Association, Education Association,1,Education - Miscellaneous,,2,Education - Local Bills,,,,,,,,,,
"Developmental Disabilities Budget, Fair Wage Act, HB 381 Baltimore City and Baltimore County Due Process Proceedings For Children with Disabilities Burden of Proof",A021374, Kathleen McNally Durkin, The Arc Baltimore," Arc Baltimore, The", Advocacy and support service for person with developmental disabilities,1,Disabled,,,,,,,,,,,,,
,A021376, Martin  Kraska, Maryland Catholic Conference, Maryland Catholic Conference, Church related issues,1,Social Services - Generally,Matters affecting the Catholic Church and its ministries,2,Criminal Law - Procedure,Matters affecting the Catholic Church and its ministries,3,Public Health,Matters affecting the Catholic Church and its ministries,4,Environment,Matters affecting the Catholic Church and its ministries,,,
,A021378, Jenny  Kraska, Maryland Catholic Conference, Maryland Catholic Conference, Church related issues,1,Other,All matters affecting the Catholic Church and its ministries,,,,,,,,,,,,
,A021380, Joseph R. Wyatt, JRW Associates, Association of Maryland Pilots, Matters related to legislation,1,Transportation - Generally,,,,,,,,,,,,,
,A021382, Joseph R. Wyatt, JRW Associates, Baltimore Port Alliance, Port of Baltimore Trade Group,1,Transportation - Generally,,,,,,,,,,,,,
,A021385, Eric  A. Nielsen, Association of Maryland Pilots, Association of Maryland Pilots, Matters related to legislation,1,Transportation - Generally,,,,,,,,,,,,,
  HB 448; SB 311; HB294; HB1219; SB735,A021392, Dorian  Flynn, Maryland Association of Nonpublic Special Education Facilities, Maryland Association of Nonpublic Special Education Facilities, Nonprofit association of special schools,1,Education - Miscellaneous,Special Education,2,Disabled,Services for individuals with special needs,3,Operating Budget,,4,Children,,,,
"HB322/SB255 Public Health--Home and Community-Based Services for Children and Youth
SB201/HB82 Maryland Medical Assistance and Children's Health Insurance Programs - School-Based Behavioral Health Services - Reimbursement",A021394, Lauren  Grimes, Community Behavioral Health Association of Maryland, Community Behavioral Health Association of Maryland, Professional association of community behavioral health providers,1,Health Care Facilities and Regulation,,2,Insurance - Health,,3,"State Government - Agencies, Offices, and Officials",,,,,,,
"SB5, SB837, SB840, SB841, SB842, HB1066, HB13",A021396, Ronald Joseph Halber, Jewish Community Relations Council of Greater Washington, Jewish Community Relations Council of Greater Washington, Community Relations,1,Other,Matters affecting the Jewish Community,,,,,,,,,,,,
HB4; HB13; HB95; HB96; HB448; HB486; HB808; HB1050; HB1075; SB1; SB5; SB93; SB311; SB324; SB419; SB756; SB785; SB841; SB842,A021398, Deborah  Miller, JCRC of Greater Washington, Jewish Community Relations Council of Greater Washington, Community Relations,1,Other,Matters affecting the Jewish Community,,,,,,,,,,,,
 HB913; SB144; HB169; HB50;  HB376; HB 384; HB009; HB 625; SB0019; HB111; HB37; SB090; HB128; HB551; HB140; SB136; HB794; SB445; HB775; SB542;,A021400, Marceline A White, Maryland Consumer Rights Coalition, Maryland Consumer Rights Coalition," Advance economic rights, consumer protection, and financial inclusion for Maryland residents",1,Civil Actions and Procedures,,2,Commercial Law - Consumer Protection,,3,Commercial Law - Credit Regulation,,4,Elderly,,5,Insurance - Other than Health,
 HB 858; HB 862.,A021402, Cheryl F Matricciani, Medical Mutual Liability Insurance Society of Maryland, Medical Mutual Liability Insurance Society of Maryland, Insurance Company,1,Civil Actions and Procedures,,2,Insurance - Other than Health,,3,Other,"All matters relating to or affecting the regulation of medical malpractice insurance in MD, including Medical Mutual's business",,,,,,
HB337; HB207; HB832; SB222; SB828; HB7; HB46; HB91; SB576; SB698; HB807,A021404, Travis Knight Cutler, Marriott International, Marriott International, Hospitality,1,Operating Budget,,2,Business Regulation and Occupations,,3,Commercial Law - Consumer Protection,,4,Taxes - Miscellaneous,,5,Other,Issues related to the hotel industry
SB379;HB535;HB417;HB176;SB689;HB904;SB144;HB169;SB781;SB529;SB224;SB260;SB262;SB222;SB905;HB793;HB516;HB1021;HB230;HB255;Hb253;HB284;HB21;HB109;HB1035,A021407, Emily  Scarr, Maryland PIRG Citizen Lobby,, Public Interest Advocacy,1,Energy,,2,Environment,,3,Public Health,,,,,,,
,A021409, Kony Lisseth Serrano," CASA de Maryland, Inc."," CASA de Maryland, Inc.", Immigrant Advocacy,1,Insurance - Health,Expanding of existing healthcare programs for uninsured Marylanders,2,Public Health,Expanding healthcare for uninsured Marylanders,,,,,,,,,
"HB 98/SB 403, HB 239/SB 382; HB 619; SB 651/HB 1235; HB 1225; SB 443/HB 662; SB 579/HB 728; HB 301; HB 150/SB 166; SB 47; HB 281/SB 485; HB 1121; HB 844; SB 848",A021411, Charles  Kasky, Maryland REALTORS, Maryland Association of Realtors, Real Estate Trade Association,1,Economic and Community Development,,2,Real Property,,3,Business Regulation and Occupations,,4,Taxes - Property,,,,
SB101/HB48; SB 362; SB 283/HB 418; SB 3/HB 271; SB 534; SB 581; SB 582/HB 1148; SB 546/HB 427; SB 762/HB 73; SB 618/HB 93HB 1272; SB 223/HB 395; SB 441/HB 813,A021413, G Dan  Martin, Mental Health Association of Maryland, Mental Health Association of Maryland, mental health education and advocacy,1,Public Health,,2,Operating Budget,,3,Insurance - Health,,4,Children,,,,
"HB 3; 4; 14; 186; 285; 324; 411; 412; 630; 824; 861; 1020; 1069; 1073

SB 13; 27; 28; 36; 129; 148; 185; 487; 788",A021416, Dorothy J Lennig, House of Ruth Maryland,, Domestic Violence Program,1,Family Law,,2,Criminal Law - Procedure,,3,Criminal Law - Substantive Crimes,,4,Public Safety,,5,Other,Domestic Violence and Protective Orders
During 2023 MGA - HB 3; 4; 14; 186; 285; 324; 411; 412; 630; 824; 861; 1020; 1069; 1073; and SB 13; 27; 28; 36; 129; 148; 185; 487; and 788,A021417, Dorothy J Lennig, House of Ruth Maryland,, Domestic Violence Program,1,Family Law,,2,Criminal Law - Procedure,,3,Criminal Law - Substantive Crimes,,4,Public Safety,,5,Other,Domestic Violence and Protective Orders
Maryland Department of Health proposed regulation 22-334-P; Maryland Department of Health proposed regulation 23-003-P; Maryland Department of Health proposed regulation 22-351-P; SB 536; HB 1148; HB 305; COMAR 31-10-44.,A021420, Deborah  Steinberg, Legal Action Center, Legal Action Center, Public Interest Law and Policy Organization,1,Insurance - Health,,,,,,,,,,,,,
I worked to support HB988,A021424, James  Jervey, Maryland Rise, Maryland RISE, Economic for All Marylanders,1,Taxes - Miscellaneous,,2,Other,Paid Leave,,,,,,,,,
Veteran's Affairs issues,A021427, Patrick John Guibao, Maryland Military Coalition, Fleet Reserve Association, Veteran's Advocacy,1,Other,Veteran's Affairs,,,,,,,,,,,,
